Data_Balanco;Tax Effect Of Unusual Items;Tax Rate For Calcs;Normalized EBITDA;Total Unusual Items;Total Unusual Items Excluding Goodwill;Net Income From Continuing Operation Net Minority Interest;Reconciled Depreciation;Reconciled Cost Of Revenue;EBITDA;EBIT;Net Interest Income;Interest Expense;Interest Income;Normalized Income;Net Income From Continuing And Discontinued Operation;Total Expenses;Total Operating Income As Reported;Diluted Average Shares;Basic Average Shares;Diluted EPS;Basic EPS;Diluted NI Availto Com Stockholders;Net Income Common Stockholders;Otherunder Preferred Stock Dividend;Net Income;Minority Interests;Net Income Including Noncontrolling Interests;Net Income Continuous Operations;Tax Provision;Pretax Income;Net Non Operating Interest Income Expense;Total Other Finance Cost;Interest Expense Non Operating;Interest Income Non Operating;Operating Income;Operating Expense;Other Operating Expenses;Selling General And Administration;General And Administrative Expense;Gross Profit;Cost Of Revenue;Total Revenue;Operating Revenue;Ticker;Net Income Extraordinary;Other Non Operating Income Expenses;Gain On Sale Of Security;Depreciation And Amortization In Income Statement;Depreciation Income Statement;Selling And Marketing Expense;Insurance And Claims;Rent And Landing Fees;Other Income Expense;Special Income Charges;Gain On Sale Of Ppe;Other Special Charges;Write Off;Restructuring And Mergern Acquisition;Earnings From Equity Interest;Other Taxes;Other Gand A;Excise Taxes;Rent Expense Supplemental;Impairment Of Capital Assets;Provision For Doubtful Accounts;Depreciation Amortization Depletion Income Statement;Salaries And Wages;Net Income Discontinuous Operations;Amortization;Amortization Of Intangibles Income Statement;Research And Development;Preferred Stock Dividends;Professional Expense And Contract Services Expense;Other Non Interest Expense;Net Policyholder Benefits And Claims;Average Dilution Earnings;Gain On Sale Of Business;Depletion Income Statement
2024-12-31;0,0;0,34;184666000,0;;;-129119000,0;102231000,0;861335000,0;184666000,0;82435000,0;-221047000,0;177885000,0;45905000,0;-129119000,0;-129119000,0;1103983000,0;;118457798,0;118201989,0;-1,092359;-1,092359;-129119000,0;-129119000,0;0,0;-129119000,0;-11883000,0;-111202000,0;-111202000,0;15752000,0;-95450000,0;-221047000,0;89067000,0;177885000,0;45905000,0;113009000,0;242648000,0;-5949000,0;248597000,0;248597000,0;355657000,0;861335000,0;1216992000,0;1216992000,0;AALR3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-12-31;0,0;0,34;96473000,0;13038000,0;13038000,0;-227878000,0;93130000,0;814782000,0;96473000,0;3343000,0;-249166000,0;202812000,0;1284000,0;-227878000,0;-227878000,0;1146839000,0;38901000,0;118293000,0;118293000,0;-1,926;-1,926;-227878000,0;-227878000,0;0,0;-227878000,0;-9319000,0;-212133000,0;-212133000,0;12664000,0;-199469000,0;-249166000,0;47638000,0;202812000,0;1284000,0;32745000,0;332057000,0;6980000,0;325077000,0;325077000,0;364802000,0;814782000,0;1179584000,0;1179584000,0;AALR3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-12-31;0,0;0,061;74621000,0;-18896000,0;-18896000,0;-227810000,0;117737000,0;759261000,0;74621000,0;-43116000,0;-201197000,0;151483000,0;1167000,0;-227810000,0;-227810000,0;1128125000,0;-32037000,0;117792141,0;117792141,0;-1,934;-1,934;-227810000,0;-227810000,0;0,0;-227810000,0;-8567000,0;-219243000,0;-219243000,0;-13991000,0;-233234000,0;-201197000,0;31985000,0;151483000,0;1167000,0;-43116000,0;368864000,0;30450000,0;338414000,0;338414000,0;325748000,0;759261000,0;1085009000,0;1085009000,0;AALR3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-12-31;1091374,0;0,191;200666000,0;5714000,0;5714000,0;-5625000,0;119604000,0;780530000,0;206380000,0;86776000,0;-91627000,0;84320000,0;1603000,0;-10247626,0;-5625000,0;1054351000,0;;117548000,0;117548000,0;-0,04785;-0,04785;-5625000,0;-5625000,0;0,0;-5625000,0;-7613000,0;1988000,0;1988000,0;468000,0;2456000,0;-91627000,0;8910000,0;84320000,0;1603000,0;82221000,0;273821000,0;11887000,0;261934000,0;261934000,0;356042000,0;780530000,0;1136572000,0;1136572000,0;AALR3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-12-31;0,0;0,012313;;;;1263019000,0;60614000,0;;;;-2195967000,0;5504201000,0;3308234000,0;1263019000,0;1263019000,0;;;235894231,0;232879490,0;4,25;4,3;1002000000,0;1002000000,0;;1002000000,0;-17581000,0;1019581000,0;1280600000,0;15965000,0;1296565000,0;;;;;;1073638000,0;155172000,0;283075000,0;264369000,0;;;2778394000,0;2778394000,0;ABCB4;-261019000,0;5441000,0;4049804000,0;60614000,0;60614000,0;18706000,0;1906000,0;32284000,0;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;0,0;0,009682;;;;1230594000,0;56236000,0;;;;-3324280000,0;8358249000,0;5033969000,0;1230594000,0;1230594000,0;;;240295897,0;240295897,0;4,0421;4,0421;971274000,0;971274000,0;;971274000,0;-20584000,0;991858000,0;1251178000,0;12232000,0;1263410000,0;;;;;;997404000,0;123018000,0;266076000,0;249166000,0;;;2445525000,0;2445525000,0;ABCB4;-259320000,0;8587000,0;3165159000,0;56236000,0;56236000,0;16910000,0;1333000,0;29487000,0;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-12-31;0,0;0,34;;;;1111073000,0;41109000,0;;;;-1081792000,0;3762722000,0;2680930000,0;1111073000,0;1111073000,0;;;224373146,0;221303417,0;3,8;3,85;851582000,0;851582000,0;;851582000,0;-13544000,0;865126000,0;1124617000,0;-59711000,0;1064906000,0;;;;;;874350000,0;93749000,0;236780000,0;210079000,0;;;2260275000,0;2260275000,0;ABCB4;-259491000,0;4034000,0;2817495000,0;41109000,0;41109000,0;26701000,0;868000,0;24679000,0;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-12-31;0,0;0,098805;;;;1051044000,0;30949000,0;;;;76956000,0;2377630000,0;2454586000,0;1051044000,0;1051044000,0;;;224613641,0;222209423,0;3,562041;3,601729;800234000,0;800234000,0;;800234000,0;-2461000,0;802695000,0;1053505000,0;115504000,0;1169009000,0;;;;;;811211000,0;143411000,0;211545000,0;190169000,0;;;2211034000,0;2211034000,0;ABCB4;-250810000,0;688000,0;1629421000,0;30949000,0;30949000,0;21376000,0;827000,0;19825000,0;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-12-31;;;;;;;;;;;;;;;;;;15683900000,0;15617500000,0;0,93;0,94;;;;;;;;;;;;;;;;;;;;;;;ABEV3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-12-31;-339054800,0;0,238;30436500000,0;-1424600000,0;-1424600000,0;14437200000,0;7126400000,0;43615100000,0;29011900000,0;21885500000,0;-598800000,0;2398200000,0;1623900000,0;15522745200,0;14437200000,0;67945900000,0;21801700000,0;15814700000,0;15734500000,0;0,9129;0,9176;14437200000,0;14437200000,0;;14437200000,0;-409700000,0;14846900000,0;14846900000,0;4640400000,0;19487300000,0;-598800000,0;-175500000,0;2398200000,0;1623900000,0;21506800000,0;24330800000,0;-2126400000,0;26392400000,0;6201100000,0;45837600000,0;43615100000,0;89452700000,0;134130900000,0;ABEV3;;;-993400000,0;;;20191300000,0;;;-1420700000,0;-431200000,0;121300000,0;453200000,0;0,0;99300000,0;3900000,0;64800000,0;6201100000,0;27417900000,0;;;;;;;;;;;;;;;;
