DENOM_CIA;CD_CVM;DT_FIM_EXERC;01_Receita_Liquida_R$;02_Lucro_Bruto_R$;03_EBIT_Operacional_R$;04_Resultado_Financeiro_R$;05_Lucro_Antes_Impostos_EBT_R$;06_Lucro_Liquido_R$;Ticker_Alvo;Ano_Exercicio
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2015-12-31;699664000,0;277484000,0;108738000,0;-101770000,0;-11429000,0;-11429000,0;AALR3;2015
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2016-12-31;951470000,0;360451000,0;100612000,0;-65993000,0;28767000,0;28767000,0;AALR3;2016
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2017-12-31;1077876000,0;321296000,0;70337000,0;-78260000,0;14640000,0;14640000,0;AALR3;2017
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2018-12-31;1076918000,0;289380000,0;137286000,0;-67238000,0;51566000,0;51566000,0;AALR3;2018
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2019-12-31;1072865000,0;284816000,0;142656000,0;-76948000,0;50073000,0;50073000,0;AALR3;2019
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2020-12-31;928787000,0;165322000,0;-9123000,0;-63944000,0;-92431000,0;-92431000,0;AALR3;2020
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2021-12-31;1136572000,0;356042000,0;88174000,0;-85718000,0;1988000,0;1988000,0;AALR3;2021
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2022-12-31;1085009000,0;325748000,0;-32037000,0;-201197000,0;-219243000,0;-219243000,0;AALR3;2022
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2023-12-31;1179584000,0;364802000,0;38901000,0;-238370000,0;-218559000,0;-218559000,0;AALR3;2023
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;24058;2024-12-31;1216992000,0;355657000,0;113009000,0;-208459000,0;-111202000,0;-111202000,0;AALR3;2024
BCO ABC BRASIL S.A.;20958;2015-12-31;2240732000,0;929185000,0;217989000,0;170568000,0;388557000,0;;ABCB4;2015
BCO ABC BRASIL S.A.;20958;2016-12-31;2010847000,0;366200000,0;579599000,0;-187883000,0;391716000,0;;ABCB4;2016
BCO ABC BRASIL S.A.;20958;2017-12-31;2156854000,0;496834000,0;452491000,0;-25074000,0;427417000,0;;ABCB4;2017
BCO ABC BRASIL S.A.;20958;2018-12-31;2391943000,0;833710000,0;313210000,0;103265000,0;416475000,0;;ABCB4;2018
BCO ABC BRASIL S.A.;20958;2019-12-31;2247643000,0;711636000,0;439606000,0;57788000,0;497394000,0;;ABCB4;2019
BCO ABC BRASIL S.A.;20958;2020-12-31;2375353000,0;671030000,0;-195942000,0;536630000,0;340688000,0;340688000,0;ABCB4;2020
BCO ABC BRASIL S.A.;20958;2021-12-31;2840113000,0;856620000,0;591219000,0;-27634000,0;563585000,0;563585000,0;ABCB4;2021
BCO ABC BRASIL S.A.;20958;2022-12-31;5082213000,0;1532580000,0;898834000,0;-106655000,0;792179000,0;789718000,0;ABCB4;2022
BCO ABC BRASIL S.A.;20958;2023-12-31;5972038000,0;1344049000,0;712147000,0;102218000,0;814365000,0;800853000,0;ABCB4;2023
AMBEV S.A.;23264;2015-12-31;46720141000,0;30658770000,0;18781592000,0;-2268203000,0;12879141000,0;12879141000,0;ABEV3;2015
AMBEV S.A.;23264;2016-12-31;45602561000,0;28924602000,0;17100375000,0;-3702005000,0;13083397000,0;13083397000,0;ABEV3;2016
AMBEV S.A.;23264;2017-12-31;47899276000,0;29857498000,0;16423698000,0;-3493896000,0;7850504000,0;7850504000,0;ABEV3;2017
AMBEV S.A.;23264;2018-12-31;50231336000,0;30961709000,0;16990457000,0;-3823436000,0;11377427000,0;11377427000,0;ABEV3;2018
AMBEV S.A.;23264;2019-12-31;52599709000,0;30921550000,0;16052572000,0;-3109567000,0;12188332000,0;12188332000,0;ABEV3;2019
AMBEV S.A.;23264;2020-12-31;58378995000,0;31312896000,0;15928890000,0;-2434449000,0;11731909000,0;11731909000,0;ABEV3;2020
AMBEV S.A.;23264;2021-12-31;72854344000,0;37194600000,0;16964525000,0;-3205365000,0;13122582000,0;13122582000,0;ABEV3;2021
AMBEV S.A.;23264;2022-12-31;79708827000,0;39286758000,0;17658840000,0;-3423170000,0;14891291000,0;14891291000,0;ABEV3;2022
AMBEV S.A.;23264;2023-12-31;79736856000,0;40445285000,0;18645692000,0;-3609752000,0;14960459000,0;14960459000,0;ABEV3;2023
AMBEV S.A.;23264;2024-12-31;89452669000,0;45837589000,0;21805576000,0;-2318249000,0;14846952000,0;14846952000,0;ABEV3;2024
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036;2015-06-30;374565000,0;204076000,0;157933000,0;32638000,0;180810000,0;180810000,0;AGRO3;2015
